NumberInFamily,GEOID
1,42101027600
2,42101028902
1,42101003701
1,42101010900
1,42101013200
1,42101030900
2,42101016500
2,42101003701
1,42101007102
2,42101026500
3,42101012100
1,42101033102
1,42101010900
2,42101007000
3,42101007400
1,42101034900
1,42101021700
1,42101030100
1,42101024400
2,42101018801
2,42101016901
1,42101027300
1,42101006200
2,42101009600
6,42101025200
5,42101024600
1,42101027600
2,42101019200
2,42101002500
2,42101008200
1,42101020500
1,42101028300
2,42101016702
1,42101013900
2,42101030600
1,42101009500
2,42101007300
2,42101024700
1,42101007400
1,42101025200
3,42101028200
2,42101024400
2,42101010700
1,42101033000
1,42101027901
2,42101007200
2,42101009600
2,42101024200
1,42101002000
3,42101011200
1,42101009500
2,42101026600
4,42101024600
3,
2,
3,42101024700
3,42101024500
8,42101024600
1,42101020102
1,42101009200
2,42101028400
2,42101006400
1,42101030200
2,42101023800
1,42101007300
2,42101026600
3,42101006500
6,42101030200
3,42101003300
11,42101003600
4,42101008000
4,42101008301
3,42101038200
4,42101028000
5,42101015200
2,42101008101
2,42101006700
3,42101027402
1,42101017100
4,42101028300
3,42101028600
3,42101039002
2,42101025300
2,42101006300
3,42101006600
6,42101028500
7,42101017300
3,42101028200
4,42101027700
3,42101026100
3,42101024500
1,42101020500
2,42101009802
2,42101011300
6,42101035702
4,42101038100
2,42101024600
7,42101031900
8,42101016100
2,42101024500
4,42101039001
2,42101024600
4,42101032600
1,42101006700
3,42101011000
3,42101009400
3,42101014700
4,42101011800
5,42101011300
5,42101007102
4,42101002500
8,42101010100
4,42101008101
1,42101033701
4,42101029900
3,42101006700
4,42101034701
3,42101016800
1,42101035601
2,42101035900
1,42101033701
1,42101036000
2,42101036501
1,42101035500
1,42101033800
2,42101035900
1,42101026302
1,42101027300
2,42101004201
2,42101030100
1,42101027402
1,42101008301
1,42101016901
2,42101024300
1,42101034701
1,42101033300
1,42101019000
1,42101024700
1,42101020200
1,42101014900
1,42101031102
1,42101013402
1,42101029800
1,42101026200
1,42101025400
2,42101030100
1,42101031700
1,42101035301
1,42101008301
1,42101026800
2,42101009500
2,42101024700
1,42101028200
1,42101023600
1,42101016300
1,42101024000
1,42101029800
1,42101008301
1,42101017201
1,42101006700
1,42101000401
1,42101009600
1,42101010500
1,42101013900
2,42101009500
1,42101030100
1,42101008102
1,42101029300
3,42101015200
5,42101031101
1,42101008601
1,42101028300
1,42101013300
1,42101037700
2,42101027901
4,42101026400
2,42101007101
1,42101013900
1,42101016400
3,42101033000
1,42101024800
6,42101020000
1,42101036201
1,42101031200
3,42101027500
1,42101032000
2,42101008302
2,42101008200
1,42101013702
3,42101027902
3,42101013900
1,42101030100
1,42101034701
5,42101007300
1,42101020400
2,42101013100
1,42101013300
4,42101016800
3,42101031800
1,42101026302
4,42101028800
4,42101016200
1,42101003300
2,42101002500
2,42101038200
1,42101010700
2,42101027402
2,42101018802
1,42101034900
3,42101032000
2,42101011500
1,42101008301
1,42101028901
1,42101035601
1,42101033701
1,42101032900
1,42101006200
2,42101033101
1,42101008302
1,42101020101
4,42101030100
1,
2,42101006000
1,42101012201
2,42101032000
3,42101030502
2,42101013900
1,42101013100
4,42101028600
1,42101019501
4,42101027402
1,42101013702
4,42101010700
5,42101008602
2,42101029800
2,42101011000
4,42101012204
3,42101011100
4,42101016702
2,42101028400
2,42101025900
1,42101027902
2,42101007300
5,42101029300
3,42101024700
4,42101031200
2,42101006300
5,42101019501
9,42101028300
5,42101037700
2,42101027902
2,42101033000
6,42101025200
1,42101026800
3,42101019000
4,42101016200
2,42101028000
3,42101002200
1,42101025200
2,42101008400
4,42101008400
6,42101026500
5,42101009600
3,42101019100
4,42101026700
2,42101010300
3,42101018801
2,42101006700
3,42101027902
5,42101015200
1,42101035601
5,42101027901
7,42101029900
2,42101016500
6,42101031800
3,42101030200
5,42101029300
5,42101032300
3,42101024700
4,42101033000
3,42101024900
5,42101008101
3,42101032300
2,42101032000
4,42101026600
3,42101014700
7,42101008101
2,42101008102
1,42101027902
4,42101006400
9,42101010800
1,42101035701
2,42101013300
1,42101035500
1,42101033800
1,
1,42101035702
2,42101035601
2,42101019000
1,42101002701
1,42101002500
2,42101039100
1,42101033701
1,42101030100
1,42101026302
1,42101009000
2,42101024300
1,42101019700
1,42101011200
1,42101034502
1,42101003600
2,42101015102
1,42101024500
1,42101024700
1,42101028300
1,42101015102
1,42101008301
1,42101003701
1,42101014900
1,42101030100
1,42101014900
2,42101003701
1,42101013900
1,42101016800
2,42101003200
3,42101008602
1,42101029800
2,42101031101
1,42101017602
1,42101008301
1,42101007000
1,42101027902
1,42101008301
1,42101011900
1,42101027902
2,42101009500
1,42101027600
3,42101008500
3,42101008102
1,42101013200
1,42101027902
